RCM 5,,
Bach,"March in G Major, BWV Anh. 124",20/08/21
Bach,"Little Prelude in C Major, BWV 939",20/07/24
Bach,"Little Prelude in G Minor, BWV 929",22/04/08
Burgmüller,Sweet Sorrow,19/12/26
Burgmüller,Harmony of the Angels,20/02/06
Clementi,Sonatina in G Major 1st,19/05/16
Haydn,"Sonata in G Major, Hob. XVI:8",24/11/22
Schumann,Hunting Song,22/06/17
Schumann,A Little Romance (no. 19),21/03/05
Tchaikovsky,In Church,21/12/31
RCM 6,,
Bach,"Polonaise in G Minor, BWV Anh. 125",20/09/04
Bach,"Little Prelude in C Minor, BWV 934",21/08/06
Bach,"Little Prelude in C Minor, BWV 999",22/01/28
Bach,"Little Prelude in E Minor, BWV 941",22/07/29
Beethoven,"Lustig und Traurig, WoO 54",21/10/01
Bloch,Melody (no. 6),23/03/24
Chopin,"Waltz in A Minor, op. posth., B 150",20/03/13
Grieg,Arietta,22/03/04
Grieg,Folksong (no. 5),23/10/20
Kabalevsky,"Fairy Tale (no. 20)",20/12/04
Kabalevsky,Toccatina,20/06/26
Khachaturian,Ivan Sings,20/06/05
Menotti,Lullaby,21/01/08
Schubert,Valse Sentimentale,22/04/22
Schumann,Mignon (no. 35),23/04/07
Schumann,"Waltz in A Minor, Albumblätter opus 124 no 4",22/04/29
Schumann,From Foreign Lands and People,21/08/27
RCM 7,,
Alkan,Barcarolle in G Minor Op. 65 No. 6,21/04/23
Bach,"Little Prelude in F Major, BWV 927",21/01/15
Bach,"Invention No. 1 in C Major, BWV 772",21/07/02
Bach,"Invention No. 4 in D Minor, BWV 775",24/02/05
Bach,"Little Prelude in A Minor, BWV 942",21/09/24
Bach,"Little Prelude in D Minor, BWV 935",22/10/07
Bloch,Dream (No. 10),22/07/15
Chopin,"Prelude in E Minor, op. 28, no. 4",22/09/02
Ginastera,Milonga Op.3,22/03/18
Granados,La huérfana,21/06/04
Gliere,Arietta,23/10/27
Grieg,Elfin Dance,20/06/19
Ibert,Serenade Leau,23/09/15
MacDowell,To a Wild Rose,21/05/28
Mendelssohn,Venetian Boat Song (Op. 30 No. 6),21/06/18
Moussorgsky,Une larme (A Tear),21/03/19
Prokofiev,Regrets (no. 5),21/02/05
Prokofiev,Waltz (no. 6),21/04/09
Prokofiev,Evening (no. 11),21/03/12
Rollin,Sweet Elegy,20/01/16
Schumann,Mignon (no. 35),23/04/07
Schubert,Waltz in B Minor (no. 6),20/10/02
RCM 8,,
Bach,"Invention No. 6 in E Major, BWV 777",24/06/21
Bach,"Invention No. 15 in B Minor, BWV 786",25/01/03
Bach,"Invention No. 13 in A Minor, BWV 784",25/02/28
Bach,"Invention No. 7 in E Minor, BWV 784",25/04/03
Bach,"Little Prelude in E Major, BWV 937",24/09/27
Bach,"Little Prelude in E Minor, BWV 938",24/10/04
Chopin,Waltz in B Minor Op.69 No.2,21/11/19
Chopin,"Mazurka in G Minor, op. posth. 67, no. 2",24/01/01
Chopin,Prelude in B Minor Op.28 No.6,23/02/03
Chopin,Prelude in C Minor Op.28 No.20,24/02/23
Mendelssohn,Venetian Boat Song (Op.19 No. 6),22/07/15
Mendelssohn,Op.19 No.2,24/03/22
Schumann,Op.68 No.28,23/05/26
Smetana,Song Op.2 No.2,22/12/23
,,
RCM 9,,
Chopin,"Mazurka in A Minor, op. posth. 67, no. 4",23/05/12
Chopin,"Nocturne in G Minor, op. 37, no. 1",23/07/07
Glinka,La séparation (Nocturne),25/01/24
,,
RCM 10,,
Chopin,"Nocturne in E Minor, op. posth. 72, no. 1",23/03/31
