Date,Author,Name,Book,Status,Duration
20/03/13,Chopin,Waltz in A Minor,An Introduction,Forgotten,
20/04/24,Chopin,Albumleaf B.133,An Introduction,Forgotten,0:02:30
21/01/22,Schubert,D.783 No.7,Dances,Forgotten,0:01:10
21/02/11,Chopin,Nocturned in C Minor Op posth,An Introduction,Forgotten,
21/03/19,Mussorgsky,Une Larme,,Forgotten,0:03:10
21/04/23,Alkan,Barcarolle Op.65 No.6,,Forgotten,0:03:40
21/06/18,Mendelssohn,Venetian Boat Song Op.30 No.6,Selections from Songs without words,Forgotten,0:03:20
21/10/03,Schumann,Op. 15 No. 1,Scenes from Childhood,Memorized,0:02:00
21/11/03,Shostakovich,Sentimental Waltz,,Forgotten,0:02:20
21/11/15,Chopin,Waltz in B Minor,An Introduction,Forgotten,
22/03/14,Grieg,Arietta,Lyric Pieces,Forgotten,0:01:20
22/03/18,Ginastera,Milonga,,Forgotten,0:02:30
22/07/15,Mendelssohn,Op.19 No.6,Selections from Songs without words,Forgotten,
22/09/07,Chopin,Prelude in E Minor,An Introduction,Forgotten,0:02:00
22/11/04,Granados,Valse Poeticos No.6. Quasi ad libitum,Valses Poeticos,Memorized,0:01:45
22/11/18,Granados,Valse Poeticos No.3. Tempo de Valse lente,Valses Poeticos,Forgotten,0:02:00
22/12/02,Brahms,Op.39 No.3,,Forgotten,0:01:20
22/12/23,Smetana,Song Op.2 No.2,Slavic Minatures,Memorized,0:02:00
23/02/03,Chopin,Prelude in B Minor,An Introduction,Forgotten,0:02:11
23/03/31,Chopin,Nocturn in E Minor Op.72 No.1,Nocturnes,Forgotten,0:04:30
23/05/12,Chopin,Mazurka in A Minor Op.67 No.4,An Introduction,Forgotten,0:03:30
23/07/07,Chopin,Op.37 No.1,Nocturnes,Forgotten,0:07:00
23/09/15,Prisovsky,Dream of the Warrior,,Forgotten,0:04:00
24/01/01,Chopin,Mazurka in G Minor Op.67 No.2,An Introduction,Forgotten,0:02:00
24/01/05,Guastavino,Santa Fe Para Llorar,,Forgotten,
24/02/02,Granados,Spanish Dance No.2 Oriental,,Forgotten,0:05:00
24/02/23,Chopin,Prelude in C Minor,An Introduction,Forgotten,
24/03/22,Mendelssohn,Op.19 No.6,Selections from Songs without words,Forgotten,0:03:10
24/03/29,Liszt,Wisona S.480 No.2,,Forgotten,0:03:00
24/08/02,Liszt,Romance S.169,,Forgotten,0:03:45
24/08/30,Schubert,D.783 No.15,Dances,Forgotten,0:01:00
24/10/18,Franck,Danse Lente,,Memorized,0:03:15
24/12/06,Sibelius ,Impromptu Op.5 No.6,,Forgotten,0:03:00
25/01/17,Rimsky-Korsakov,Little Song,,Forgotten,0:02:00
25/01/24,Glinka,Nocturne in F Minor,Anthology of Romantic Piano Music,Memorized,0:04:30
